Year,Region,Common Name,Species ITIS,Harvest (A+B1),Harvest PSE,Weight (lb) of Harvest (A+B1),Weight Harvest PSE,Numbers (A),Numbers PSE,Numbers Released Alive (B2),B2 PSE,Catch Numbers (A+B1+B2),Total Catch PSE
2018,Gulf of Mexico,"SHARK,BULL",160275,"5,486",75.6,"166,908",75.6,"5,486",75.6,"19,336",76.4,"24,822",61.8
2018,Gulf of Mexico,"SHARK,LEMON",160433,0,0,0,0,0,0,"3,673",88.1,"3,673",88.1
2017,Gulf of Mexico,"SHARK,BULL",160275,"2,982",99.6,"90,728",99.6,"2,982",99.6,"108,704",46.9,"111,686",45.7
2017,Gulf of Mexico,"SHARK,LEMON",160433,0,0,0,0,0,0,"1,638",70.9,"1,638",70.9
2016,Gulf of Mexico,"SHARK,BULL",160275,0,0,0,0,0,0,"18,138",55.9,"18,138",55.9
2016,Gulf of Mexico,"SHARK,LEMON",160433,"1,147",83.9,"15,520",84,"1,147",83.9,"4,415",61.8,"5,562",52
2015,Gulf of Mexico,"SHARK,BULL",160275,357,96.1,0,0,28,101.3,"25,284",50.3,"25,641",49.6
2015,Gulf of Mexico,"SHARK,LEMON",160433,0,0,0,0,0,0,"5,742",47.5,"5,742",47.5
2014,Gulf of Mexico,"SHARK,BULL",160275,"8,534",52.7,"166,632",64.1,"7,585",57.9,"12,638",46.6,"21,172",35
2014,Gulf of Mexico,"SHARK,LEMON",160433,0,0,0,0,0,0,"7,818",39.2,"7,818",39.2
2013,Gulf of Mexico,"SHARK,BULL",160275,"4,608",54.8,"176,963",80.8,"3,965",63.6,"120,682",23.1,"125,290",22.4
2013,Gulf of Mexico,"SHARK,LEMON",160433,0,0,0,0,0,0,"12,181",67.3,"12,181",67.3
2012,Gulf of Mexico,"SHARK,BULL",160275,"5,697",89.8,"68,237",92.5,"5,697",89.8,"30,883",33.9,"36,580",31.9
2012,Gulf of Mexico,"SHARK,LEMON",160433,0,0,0,0,0,0,"7,379",39.6,"7,379",39.6
2011,Gulf of Mexico,"SHARK,BULL",160275,884,92.4,"7,963",90.6,884,92.4,"5,557",55.1,"6,441",49.2
2011,Gulf of Mexico,"SHARK,LEMON",160433,"4,020",71.3,"71,136",71.3,"4,020",71.3,"4,517",50.2,"8,537",42.8
2010,Gulf of Mexico,"SHARK,BULL",160275,48,100.1,564,99.4,48,100.1,"18,091",32.7,"18,139",32.6
2010,Gulf of Mexico,"SHARK,LEMON",160433,"1,199",99.6,"21,195",99.6,"1,199",99.6,"22,595",52.5,"23,794",50.1
2009,Gulf of Mexico,"SHARK,BULL",160275,"20,619",39.6,"906,514",49.9,"16,232",42.1,"21,131",53.5,"41,750",33.4
2009,Gulf of Mexico,"SHARK,LEMON",160433,0,0,0,0,0,0,"2,876",36.9,"2,876",36.9
2008,Gulf of Mexico,"SHARK,BULL",160275,"2,787",83.2,"656,506",86.6,"2,787",83.2,"30,423",49.7,"33,210",46
2008,Gulf of Mexico,"SHARK,LEMON",160433,"2,235",99.5,"43,060",99.5,"2,235",99.5,279,101.7,"2,514",89.2
2007,Gulf of Mexico,"SHARK,BIGNOSE",160307,53,101.9,0,0,53,101.9,0,0,53,101.9
2007,Gulf of Mexico,"SHARK,BULL",160275,"4,109",41.6,"138,621",48.7,"3,393",45.7,"17,528",39.3,"21,637",32.8
2007,Gulf of Mexico,"SHARK,LEMON",160433,0,0,0,0,0,0,571,77.8,571,77.8
2006,Gulf of Mexico,"SHARK,BULL",160275,"6,263",79.3,"747,525",90.7,"6,263",79.3,"10,840",43,"17,103",39.8
2006,Gulf of Mexico,"SHARK,LEMON",160433,332,100.4,"2,694",100.4,332,100.4,"51,287",51.9,"51,619",51.6
2006,Gulf of Mexico,"SHARK,OCEANIC WHITETIP",160330,0,0,0,0,0,0,"9,672",102.4,"9,672",102.4
2005,Gulf of Mexico,"SHARK,BULL",160275,841,78,"8,382",67.8,841,78,"70,904",76.4,"71,745",75.6
2005,Gulf of Mexico,"SHARK,LEMON",160433,246,64,"2,731",78,246,64,"16,621",55.5,"16,867",54.7
2004,Gulf of Mexico,"SHARK,BIGNOSE",160307,12,103.1,0,0,12,103.1,0,0,12,103.1
2004,Gulf of Mexico,"SHARK,BULL",160275,"2,898",85.4,"136,057",98.6,"2,898",85.4,"16,908",35.9,"19,806",33.1
2004,Gulf of Mexico,"SHARK,LEMON",160433,"1,966",66.7,"31,852",79.1,903,81.7,"8,396",63,"10,362",52.6
2003,Gulf of Mexico,"SHARK,BULL",160275,"6,134",51.1,"161,699",52.2,"6,134",51.1,"9,503",43.1,"15,637",33
2003,Gulf of Mexico,"SHARK,LEMON",160433,"1,775",90.9,"86,363",100.6,"1,775",90.9,"2,269",88,"4,044",63.5
2003,Gulf of Mexico,"SHARK,OCEANIC WHITETIP",160330,0,0,0,0,0,0,102,105,102,105
2002,Gulf of Mexico,"SHARK,BULL",160275,"2,581",68.4,"41,954",68.3,"1,461",92.5,"10,831",66.4,"13,412",55.2
2002,Gulf of Mexico,"SHARK,LEMON",160433,"5,481",50.2,"87,699",50.7,"3,071",69.7,"4,240",56.6,"9,721",37.5
2001,Gulf of Mexico,"SHARK,BULL",160275,"4,386",61.3,"37,280",70.3,"4,386",61.3,"94,103",76.7,"98,489",73.4
2001,Gulf of Mexico,"SHARK,LEMON",160433,"7,618",56.5,"137,402",58.4,"7,534",57.1,"18,698",56.7,"26,316",43.5
2000,Gulf of Mexico,"SHARK,BULL",160275,"8,155",45.9,"117,529",53.5,"8,155",45.9,"6,853",34.8,"15,008",29.6
2000,Gulf of Mexico,"SHARK,LEMON",160433,"2,315",99.6,"43,144",99.9,"2,315",99.6,"2,082",66.2,"4,397",61.1
1999,Gulf of Mexico,"SHARK,BULL",160275,"2,576",68.8,"57,679",74.1,"2,576",68.8,0,0,"2,576",68.8
1999,Gulf of Mexico,"SHARK,LEMON",160433,119,73.3,"2,002",73.2,119,73.3,"15,486",76.8,"15,605",76.2
1998,Gulf of Mexico,"SHARK,BULL",160275,"1,243",74.9,"195,118",92.1,"1,243",74.9,"3,358",56.4,"4,601",45.9
1998,Gulf of Mexico,"SHARK,LEMON",160433,"4,007",66.4,"53,464",70.6,"4,007",66.4,"11,666",40.2,"15,673",34.4
1997,Gulf of Mexico,"SHARK,BULL",160275,"2,918",98.2,"1,106,592",98.2,"2,918",98.2,"8,783",47,"11,701",43
1997,Gulf of Mexico,"SHARK,LEMON",160433,"5,085",60.2,"118,691",68.7,"5,085",60.2,"9,701",52.5,"14,786",40.2
1996,Gulf of Mexico,"SHARK,BULL",160275,"12,201",45.9,"384,284",56.7,"12,201",45.9,"5,357",71.8,"17,558",38.7
1996,Gulf of Mexico,"SHARK,LEMON",160433,"2,516",76,"42,498",92,"2,516",76,"11,223",51.4,"13,739",44.2
1995,Gulf of Mexico,"SHARK,BULL",160275,"8,741",48.3,"123,669",45.8,"8,741",48.3,"3,466",99.3,"12,207",44.6
1995,Gulf of Mexico,"SHARK,LEMON",160433,"9,205",68.1,"112,807",69.5,"9,205",68.1,"35,501",58.3,"44,706",48.4
1994,Gulf of Mexico,"SHARK,BULL",160275,"4,249",69.5,"62,688",73.8,0,0,"11,396",73.5,"15,645",56.8
1994,Gulf of Mexico,"SHARK,LEMON",160433,"4,769",48.3,"63,775",55,"4,769",48.3,"23,403",55.1,"28,172",46.5
1993,Gulf of Mexico,"SHARK,BULL",160275,"3,563",63,"104,262",52.2,"3,490",64.3,0,0,"3,563",63
1993,Gulf of Mexico,"SHARK,LEMON",160433,"11,600",53.8,"104,416",57.1,"4,745",63.8,"10,465",58.4,"22,065",39.6
1992,Gulf of Mexico,"SHARK,BIGNOSE",160307,919,99.4,"5,251",99.5,919,99.4,0,0,919,99.4
1992,Gulf of Mexico,"SHARK,BULL",160275,"6,299",83.5,"2,016,689",101.1,"6,299",83.5,"2,426",70.3,"8,725",63.4
1992,Gulf of Mexico,"SHARK,LEMON",160433,"7,444",57,"177,391",64.9,"7,444",57,"10,063",57.4,"17,507",41
1991,Gulf of Mexico,"SHARK,BULL",160275,0,0,0,0,0,0,"4,486",88.8,"4,486",88.8
1991,Gulf of Mexico,"SHARK,LEMON",160433,"18,848",90,"57,723",67.3,"18,848",90,0,0,"18,848",90
1990,Gulf of Mexico,"SHARK,BIGNOSE",160307,0,0,0,0,0,0,"2,022",100.2,"2,022",100.2
1990,Gulf of Mexico,"SHARK,BULL",160275,"4,496",44.1,"24,782",44.1,"2,676",30,"4,145",108,"8,641",56.6
1990,Gulf of Mexico,"SHARK,LEMON",160433,28,60.1,225,55,28,60.1,"15,566",97.7,"15,594",97.5
